Text	Name	2010	2008	2006	2004	2002	2000	1998	1996	1995	10label	08label	06label	04label	02label	00label	98label	96label	95label	
Prescriptions more than 100?	RXOOPgt100	N/A	N/A	N/A	N/A	N/A	2627	2350	1818	1751	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Prescriptions more than 500?	RXOOPgt500	N/A	N/A	N/A	N/A	N/A	2628	2351	1819	1752	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Prescriptions more than 20?	RXOOPgt20a	N/A	N/A	N/A	N/A	N/A	2629	2352	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Prescriptions more than 10?	RXOOPgt10a	N/A	N/A	N/A	N/A	N/A	2630	2353	1820	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Prescriptions more than 5?	RXOOPgt5	N/A	N/A	N/A	N/A	N/A	2631	2354	1821	1754	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Expect drugs to be covered by ins?	RXExpectInsCov	N184	N184	N184	N184	N184	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Received home medical care?	HoMedVisit	N189	N189	N189	N189	N189	2634	2357	1827	1760	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How much of home care covered by ins?	HoMedCoverByIns	N190	N190	N190	N190	N190	2636	2359	1829	1762	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket home care amount	HoMedOOPAmt	N194	N194	N194	N194	N194	2641	2364	1834	1781	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	* includes special facility care (1996-2000)
Out of pocket home care minimum	HoMedOOPMin	N195	N195	N195	N195	N195	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket home care maximum	HoMedOOPMax	N196	N196	N196	N196	N196	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Home care more than 5000?	HoMedOOPgt5000	N/A	N/A	N/A	N/A	N/A	2642	2365	1835	1782	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Home care more than 10000?	HoMedOOPgt10000	N/A	N/A	N/A	N/A	N/A	2643	2366	1836	1783	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Home care more than 20000?	HoMedOOPgt20000	N/A	N/A	N/A	N/A	N/A	2644	2367	1837	1784	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Home care more than 1000?	HoMedOOPgt1000	N/A	N/A	N/A	N/A	N/A	2645	2368	1838	1785	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Home care more than 500?	HoMedOOPgt500	N/A	N/A	N/A	N/A	N/A	2646	2369	1839	1786	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Expect ins to cover home care?	HoMedExpectInsCov	N198	N198	N198	N198	N198	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Used other special facility?	SpecFacVisit	N202	N202	N202	N202	N202	2638	2361	1831	1774	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Out of pocket special facility amount	SpecFacOOPAmt	N239	N239	N239	N239	N239	N/A	N/A	N/A	N/A	Value7	Value7	Value7	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket special facility minimum	SpecFacOOPMin	N246	N246	N246	N246	N246	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket special facility maximum	SpecFacOOPMax	N247	N247	N247	N247	N247	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Assigned hospital costs	HospAssigned	N204	N204	N204	N204	N204	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Assigned long term care  costs	LTCAssigned	N205	N205	N205	N205	N205	2648	2371	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Assigned outpatient surgery costs	OutSurgAssigned	N206	N206	N206	N206	N206	2649	2372	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Assigned doctor visits costs	DocVisAssigned	N207	N207	N207	N207	N207	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Assigned dentist costs	DentistAssigned	N208	N208	N208	N208	N208	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Assigned prescription costs	RXAssigned	N209	N209	N209	N209	N209	2650	2373	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Assigned home care costs	HoMedAssigned	N210	N210	N210	N210	N210	2651	2374	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Assigned total out of pocket costs	TotalOOPAssigned	N211	N211	N211	N211	N211	2652	2375	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Received help with paying med bills?	RecdHelpWithBills	N212	N212	N212	N212	N212	2654	2377	1847	1805	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Med bill help received amount	BillHelpAmt	N215	N215	N215	N215	N215	2658	2381	1851	1809	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Med bill help received minimum	BillHelpMin	N216	N216	N216	N216	N216	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Med bill help received maximum	BillHelpMax	N217	N217	N217	N217	N217	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
How pay for large medical bills?	HowPayLargeBills	N219M1	N219M1	N219M1	N219M1	N219M1	2659M1	2382M1	N/A	N/A	HowPayBig	HowPayBig	HowPayBig	HowPayBig	HowPayBig	HowPayBig	HowPayBig	HowPayBig	HowPayBig	
Health status self report	HealthStatus	C001	C001	C001	C001	C001	1226	1097	769	769	Health	Health	Health	Health	Health	Health	Health	Health	Health	
Health better or worse than before?	HealthChange	C002	C002	C002	C002	C002	1229	1100	772	772	BetWorse	BetWorse	BetWorse	BetWorse	BetWorse	BetWorse	BetWorse	BetWorse	BetWorse	
Have high blood pressure?	HaveHighBP	C005	C005	C005	C005	C005	1238	1109	781	781	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for blood pressure?	TakeRX4HighBP	C006	C006	C006	C006	C006	1239	1110	782	782	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is blood pressure under control?	BPUnderControl	C008	C008	C008	C008	C008	1241	1112	784	784	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have diabetes?	HaveDiabetes	C010	C010	C010	C010	C010	1245	1116	788	788	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking oral diabetes medication?	TakeRX4DiabOral	C011	C011	C011	C011	C011	1248	1117	789	789	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Taking insulin?	TakeRXInsulin	C012	C012	C012	C012	C012	1249	1118	790	790	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is diabetes under control?	DiabUnderControl	C015	C015	C015	C015	C015	1252	1121	793	793	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have cancer?	HaveCancer	C018	C018	C018	C018	C018	1262	1129	801	801	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Have new non-skin cancer?	HaveNewCancer	C024	C024	C024	C024	C024	1267	1134	806	806	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have lung condition?	HaveLungCond	C030	C030	C030	C030	C030	1279	1146	818	818	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for lung condition?	TakeRX4Lung	C032	C032	C032	C032	C032	1284	1151	823	823	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Does lung condition limit activities?	LungCondLimitAct	C035	C035	C035	C035	C035	1287	1154	826	826	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have heart condition?	HaveHeartCond	C036	C036	C036	C036	C036	1289	1156	828	828	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for heart condition?	TakeRX4Heart	C037	C037	C037	C037	C037	1290	1157	829	829	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Had heart attack in past two years?	RecentHeartAtk	C040	C040	C040	C040	C040	1295	1162	834	834	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Taking medication for heart attack?	TakeRX4HeartAtk	C042	C042	C042	C042	C042	1298	1165	837	837	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have angina or chest pains?	HaveAngina	C045	C045	C045	C045	C045	1301	1168	840	840	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for angina?	TakeRX4Angina	C046	C046	C046	C046	C046	1302	1169	841	841	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Does angina limit activities?	AnginaLimitAct	C047	C047	C047	C047	C047	1303	1170	842	842	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have congestive heart failure?	HaveCongHeartFail	C048	C048	C048	C048	C048	1304	1171	843	843	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for heart failure?	TakeRX4HeartFail	C050	C050	C050	C050	C050	1306	1173	845	845	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Has ever had a stroke?	HasHadStroke	C053	C053	C053	C053	C053	1309	1176	848	848	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Problems remaining because of stroke?	StrokeProblems	C055	C055	C055	C055	C055	1312	1179	851	851	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Taking medication for stroke?	TakeRX4Stroke	C060	C060	C060	C060	C060	1317	1184	856	856	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Had stroke in past two years?	RecentStroke	C062	C062	C062	C062	C062	1319	1186	858	858	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have psychiatric problems?	HavePsychProb	C065	C065	C065	C065	C065	1322	1189	861	861	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Take antidepressant drugs?	TakeRX4Depress	C068	C068	C068	C068	C068	1325	1192	864	864	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have memory problems?	HaveMemProb	N/A	C069	C069	C069	C069	1326	1193	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for memory?	TakeRX4MemProb	C210	C210	N/A	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have arthritis?	HaveArthritis	C070	C070	C070	C070	C070	1327	1194	866	866	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Taking medication for arthritis?	TakeRX4Arthritis	C074	C074	C074	C074	C074	1331	1198	870	870	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Does arthritis limit activities?	ArthritisLimitAct	C075	C075	C075	C075	C075	1332	1199	871	871	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have osteoarthritis?	HaveOsteoArth	C219	C219	C219	C219	N/A	N/A	N/A	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Have rheumatoid arthritis?	HaveRheumArth	C220	C220	C220	C220	N/A	N/A	N/A	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Have gout or lupus?	HaveGoutLupus	C221	C221	C221	C221	N/A	N/A	N/A	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Have arthritis related to injury?	HaveInjuryArth	C222	C222	C222	C222	N/A	N/A	N/A	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Have shingles?	HaveShingles	C240	C240	N/A	N/A	N/A	N/A	N/A	N/A	N/A	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	DispYesNo	
Number of bouts with shingles	ShinglesBouts	C241	C241	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Value1	Value1	Value1	Value1	Value1	Value1	Value1	Value1	Value1	
Worst pain rating of shingles	ShinglesMaxPain	C245	C245	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Has fallen recently	FallenRecently	C079	C079	C079	C079	C079	1339	1206	878	878	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number of times fallen	NumFalls	C080	C080	C080	C080	C080	1340	1207	879	879	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Serious injury in any falls?	InjuryFall	C081	C081	C081	C081	C081	1345	1212	884	884	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Lost any urine in past year?	LostAnyUrine	C087	C087	C087	C087	C087	1353	1220	892	892	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Days in past month lost urine	LostUrineDaysAmt	C088	C088	C088	C088	C088	1354	1221	893	893	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Days lost urine relative to 5	LostUrineDaysgt5	C089	C089	C089	C089	C089	1355	1222	894	894	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Days lost urine relative to 15	LostUrineDaysgt15	C090	C090	C090	C090	C090	1356	1223	895	895	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How much urine lost each time?	LostUrineHowMuch	C091	C091	C091	C091	C091	N/A	N/A	N/A	N/A	UrineAmt	UrineAmt	UrineAmt	UrineAmt	UrineAmt	UrineAmt	UrineAmt	UrineAmt	UrineAmt	
Quality of eyesight with lenses	VisionQuality	C095	C095	C095	C095	C095	1361	1228	900	900	Health	Health	Health	Health	Health	Health	Health	Health	Health	
Wear a hearing aid?	UseHearingAid	C102	C102	C102	C102	C102	1368	1235	907	907	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Quality of hearing (with aid)	HearingQuality	C103	C103	C103	C103	C103	1369	1236	908	908	Health	Health	Health	Health	Health	Health	Health	Health	Health	
Often have pain?	HaveFreqPain	C104	C104	C104	C104	C104	1372	1239	911	911	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Severity of pain	PainSeverity	C105	C105	C105	C105	C105	1374	1241	912	912	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	*1996 coded differently
Does pain limit activities?	PainLimitAct	C106	C106	C106	C106	C106	1375	1242	914	914	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Had flu shot?	HadFluShot	C109	C109	C109	C109	C109	1385	1252	924	919	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Had blood test for cholesterol?	HadCholTest	C110	C110	C110	C110	C110	1386	1253	925	920	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Had mammogram?	HadMammo	C112	C112	C112	C112	C112	1388	1255	927	926	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	
Had pap smear?	HadPapSmear	C113	C113	C113	C113	C113	1389	1256	928	927	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	
Had prostate exam?	HadProstateEx	C114	C114	C114	C114	C114	1390	1257	929	929	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	YesNoExam	
How often do vigorous activity?	HowOftenVigAct	C223	C223	C223	C223	N/A	N/A	N/A	N/A	N/A	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	
How often do moderate activity?	HowOftenModAct	C224	C224	C224	C224	N/A	N/A	N/A	N/A	N/A	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	
How often do mild activity?	HowOftenMildAct	C225	C225	C225	C225	N/A	N/A	N/A	N/A	N/A	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	HowOften	
Have persistent ankle swelling?	HaveAnkleSwell	C143	C143	C143	C143	C143	1437	1304	967	963	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have shortness of breath?	HaveShortBreath	C144	C144	C144	C144	C144	1438	1305	968	964	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have persistent dizziness?	HaveDizziness	C145	C145	C145	C145	C145	1439	1306	969	967	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have back problems?	HaveBackProb	C146	C146	C146	C146	C146	1440	1307	970	968	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have persistent headaches?	HaveHeadache	C147	C147	C147	C147	C147	1441	1308	971	969	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have severe fatigue?	HaveFatigue	C148	C148	C148	C148	C148	1442	1309	972	972	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have persistent coughing?	HaveCoughing	C149	C149	C149	C149	C149	1443	1310	973	973	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Days spent in bed in last month	DaysInBed	C229	C229	C229	C229	N/A	2686	2388	1854	1812	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Felt depressed for two weeks?	Depressed2Weeks	C150	C150	C150	C150	C150	1456	1323	1006	985	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Respondents current age	CurrentAge	A019	A019	A019	A019	A019	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Is living in nursing home	InNursingHome	A028	A028	A028	A028	A028	558	517	240	240	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number of resident children	NumResChildren	A099	A099	A099	A099	A099	886	809	506	506	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Which cohort	WhichCohort	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"* is in PR_H, now deleted"
Sex	Sex	X060_R	X060_R	X060_R	X060_R	X060_R	490	469	374	210	Gender	Gender	Gender	Gender	Gender	Gender	Gender	Gender	Gender	
Couple status	CoupleStatus	X065_R	X065_R	X065_R	X065_R	X065_R	37_1	37_1	375	674	Couple	Couple	Couple	Couple	Couple	Couple	Couple	Couple	Couple	
Month born	MonthBorn	X004_R	X004_R	X004_R	X004_R	X004_R	950	968A	636	636A	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Year born	YearBorn	X067_R	X067_R	X067_R	X067_R	X067_R	949	970A	638	638A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Random entry point for med cost	RandomEntryPt	N/A	N/A	N/A	N/A	N/A	122	122_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Total medical cost range (confusing)	TotalMedCostA	N/A	N/A	N/A	N/A	N/A	2660	2383	1841	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Total medical cost more than 5000?	TotalMedCostB	N/A	N/A	N/A	N/A	N/A	2661	2384	1842	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Total medical cost more than 1k or 25k?	TotalMedCostC	N/A	N/A	N/A	N/A	N/A	2683	2385	1843	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Total medical cost more than 100000?	TotalMedCostD	N/A	N/A	N/A	N/A	N/A	2684	2386	1844	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Total medical cost more than 500000?	TotalMedCostE	N/A	N/A	N/A	N/A	N/A	2685	2387	1845	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Difficulty walking several blocks?	DiffWalkBlocks	G001	G001	G001	G001	G001	2689	2391	1858	1834	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty jogging a mile?	DiffJogMile	G002	G002	G002	G002	G002	2690	2392	1861	1837	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty walking one block?	DiffWalk1Block	G003	G003	G003	G003	G003	2692	2394	1864	1840	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty sitting for two hours?	DiffSitting	G004	G004	G004	G004	G004	2695	2397	1867	1843	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty getting up from a chair?	DiffStanding	G005	G005	G005	G005	G005	2698	2400	1870	1846	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty climbing flights of stairs?	DiffStairs	G006	G006	G006	G006	G006	2701	2403	1873	1849	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty climbing one flight of stairs?	Diff1Stair	G007	G007	G007	G007	G007	2704	2406	1876	1852	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty stooping or kneeling?	DiffStooping	G008	G008	G008	G008	G008	2707	2409	1879	1855	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty reaching arms upward?	DiffReaching	G009	G009	G009	G009	G009	2710	2412	1882	1858	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty pushing living room chair?	DiffPushing	G010	G010	G010	G010	G010	2713	2415	1885	1861	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty carrying heavy grocery bag?	DiffCarrying	G011	G011	G011	G011	G011	2716	2418	1888	1864	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty picking up a dime?	DiffPickDime	G012	G012	G012	G012	G012	2719	2421	1891	1867	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty getting dressed?	DiffDressing	G014	G014	G014	G014	G014	2723	2425	1908	1884	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Ever get help getting dressed?	GetHelpDress	G015	G015	G015	G015	G015	2724	2426	1911	1887	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty walking across a room?	DiffCrossRoom	G016	G016	G016	G016	G016	2725	2427	1895	1871	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Use device when crossing a room?	UseDevCrossRoom	G017	G017	G017	G017	G017	2726	2428	1898	1874	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help crossing a room?	GetHelpCrossRoom	G020	G020	G020	G020	G020	2729	2431	1901	1877	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty bathing or showering?	DiffBathing	G021	G021	G021	G021	G021	2742	2444	1918	1894	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Ever get help showering?	GetHelpBathing	G022	G022	G022	G022	G022	2745	2447	1921	1897	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty cutting and eating food?	DiffEating	G023	G023	G023	G023	G023	2752	2454	1928	1904	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Ever get help eating?	GetHelpEating	G024	G024	G024	G024	G024	2755	2457	1931	1907	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty getting in/out of bed?	DiffWithBed	G025	G025	G025	G025	G025	2762	2464	1938	1914	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Use device to get in/out of bed?	UseDevWithBed	G026	G026	G026	G026	G026	2765	2467	1941	1917	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help to get in bed?	GetHelpWithBed	G029	G029	G029	G029	G029	2768	2470	1944	1920	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
